match	n	tag	per_adj	base	pref	revised_match
mempercepatan	1	mempercepatan<x>_X--	y	cepat	mem	mempercepat
mempercepet	1	mempercepet<x>_X--	y	cepat	mem	mempercepat
memperciapkan	1	memperciapkan<x>_X--				
mempercikkan	1	mempercikkan<x>_X--				
mempercundangi	1	mempercundangi<x>_X--				
memperdagangnkan	1	memperdagangnkan<x>_X--				
memperdalamk	1	memperdalamk<x>_X--	y	dalam	mem	memperdalam
memperdalani	1	memperdalani<x>_X--				
memperdayaan	1	memperdayaan<x>_X--				
memperdayaka	1	memperdayaka<x>_X--				
memperdayayakan	1	memperdayayakan<x>_X--				
memperdepatkan	1	memperdepatkan<x>_X--				
memperdikasikan	1	memperdikasikan<x>_X--				
memperdikit	1	memperdikit<x>_X--	y	dikit	mem	memperdikit
memperdiksikan	1	memperdiksikan<x>_X--				
memperdjuangkan	1	memperdjuangkan<x>_X--				
memperdulian	1	memperdulian<x>_X--				
memperduliikannya	1	memperduliikannya<x>_X--				
mempereagakan	1	mempereagakan<x>_X--				
memperebutakan	1	memperebutakan<x>_X--				
memperebutka	1	memperebutka<x>_X--				
memperebutkam	1	memperebutkam<x>_X--				
memperebutkn	1	memperebutkn<x>_X--				
memperebutkna	1	memperebutkna<x>_X--				
memperebutlan	1	memperebutlan<x>_X--				
mempereebutkan	1	mempereebutkan<x>_X--				
memperekecil	1	memperekecil<x>_X--	y	kecil	mem	memperkecil
memperekirakan	1	memperekirakan<x>_X--				
memperembukkan	1	memperembukkan<x>_X--				
memperempuan	1	memperempuan<x>_X--				
memperformakan	1	memperformakan<x>_X--				
mempergagah	1	mempergagah<x>_X--	y	gagah	mem	mempergagah
memperganteng	1	memperganteng<x>_X--	y	ganteng	mem	memperganteng
memperggunakan	1	memperggunakan<x>_X--				
mempergnakan	1	mempergnakan<x>_X--				
mempergunagakan	1	mempergunagakan<x>_X--				
memperguncingkan	1	memperguncingkan<x>_X--				
memperhalikan	1	memperhalikan<x>_X--				
memperhasul	1	memperhasul<x>_X--				
memperhatankan	1	memperhatankan<x>_X--				
memperhatiikan	1	memperhatiikan<x>_X--				
memperhatiin	1	memperhatiin<x>_X--				
memperhatikahn	1	memperhatikahn<x>_X--				
memperhatikannja	1	memperhatikannja<x>_X--				
memperhatikantajwidnya	1	memperhatikantajwidnya<x>_X--				
memperhatikdn	1	memperhatikdn<x>_X--				
memperhatiknan	1	memperhatiknan<x>_X--				
memperhatiknya	1	memperhatiknya<x>_X--				
memperhatukan	1	memperhatukan<x>_X--				
memperhihitungkan	1	memperhihitungkan<x>_X--				
memperhitingkan	1	memperhitingkan<x>_X--				
memperhitongkan	1	memperhitongkan<x>_X--				
memperhitrungkan	1	memperhitrungkan<x>_X--				
memperhituhgkan	1	memperhituhgkan<x>_X--				
memperhitun	1	memperhitun<x>_X--				
memperhitungakn	1	memperhitungakn<x>_X--				
memperhitungkannja	1	memperhitungkannja<x>_X--				
memperhitungnkan	1	memperhitungnkan<x>_X--				
memperhitunkan	1	memperhitunkan<x>_X--				
memperhmangkan	1	memperhmangkan<x>_X--				
memperiakukan	1	memperiakukan<x>_X--				
memperiambat	1	memperiambat<x>_X--	y	lambat	mem	memperlambat
memperiangatkan	1	memperiangatkan<x>_X--				
memperidah	1	memperidah<x>_X--	y	indah	mem	memperindah
memperifikasi	1	memperifikasi<x>_X--				
memperihalkan	1	memperihalkan<x>_X--				
memperiingati	1	memperiingati<x>_X--				
memperikrakan	1	memperikrakan<x>_X--				
memperilahkan	1	memperilahkan<x>_X--				
memperileh	1	memperileh<x>_X--				
memperilhatkan	1	memperilhatkan<x>_X--				
memperinagti	1	memperinagti<x>_X--				
memperinati	1	memperinati<x>_X--				
memperingad	1	memperingad<x>_X--				
memperingaktkan	1	memperingaktkan<x>_X--				
memperingatu	1	memperingatu<x>_X--				
memperingkat	1	memperingkat<x>_X--				
memperingkatan	1	memperingkatan<x>_X--				
memperingtakan	1	memperingtakan<x>_X--				
memperingtatkan	1	memperingtatkan<x>_X--				
memperingti	1	memperingti<x>_X--				
memperioleh	1	memperioleh<x>_X--				
memperirit	1	memperirit<x>_X--	y	irit	mem	memperirit
memperisiapkan	1	memperisiapkan<x>_X--				
memperispkannya	1	memperispkannya<x>_X--				
memperitahkan	1	memperitahkan<x>_X--				
memperjakainya	1	memperjakainya<x>_X--				
memperjakan	1	memperjakan<x>_X--				
memperjaungkan	1	memperjaungkan<x>_X--				
memperjuakannya	1	memperjuakannya<x>_X--				
memperjuangkanide	1	memperjuangkanide<x>_X--				
memperjuangkanya	1	memperjuangkanya<x>_X--				
memperjuanhkan	1	memperjuanhkan<x>_X--				
memperjuankkan	1	memperjuankkan<x>_X--				
memperjungan	1	memperjungan<x>_X--				
memperkaja	1	memperkaja<x>_X--	y	kaya	mem	memperkaya
memperkajakan	1	memperkajakan<x>_X--				
memperkalkan	1	memperkalkan<x>_X--				
memperkanlkan	1	memperkanlkan<x>_X--				
memperkayajam	1	memperkayajam<x>_X--				
memperkayatema	1	memperkayatema<x>_X--				
memperkecik	1	memperkecik<x>_X--	y	kecil	mem	memperkecil
memperkekar	1	memperkekar<x>_X--	y	kekar	mem	memperkekar
memperkenalkam	1	memperkenalkam<x>_X--				
memperkenalkangame	1	memperkenalkangame<x>_X--				
memperkenalkanide	1	memperkenalkanide<x>_X--				
memperkenalkank	1	memperkenalkank<x>_X--				
memperkenalkankan	1	memperkenalkankan<x>_X--				
memperkenalkanmku	1	memperkenalkanmku<x>_X--				
memperkenalknan	1	memperkenalknan<x>_X--				
memperkenyang	1	memperkenyang<x>_X--	y	kenyang	mem	memperkenyang
memperkerap	1	memperkerap<x>_X--	y	kerap	mem	memperkerap
memperkerdjakannja	1	memperkerdjakannja<x>_X--				
memperkerkenalkan	1	memperkerkenalkan<x>_X--				
memperkertalkan	1	memperkertalkan<x>_X--				
memperkerus	1	memperkerus<x>_X--				
memperketak	1	memperketak<x>_X--	y	ketat	mem	memperketat
memperketatan	1	memperketatan<x>_X--				
memperkeuat	1	memperkeuat<x>_X--	y	kuat	mem	memperkuat
memperkhusyu	1	memperkhusyu<x>_X--				
memperkiarkan	1	memperkiarkan<x>_X--				
memperkini	1	memperkini<x>_X--	y	kini	mem	memperkini
memperkir	1	memperkir<x>_X--				
memperkiraakan	1	memperkiraakan<x>_X--				
memperkirakana	1	memperkirakana<x>_X--				
memperkirskan	1	memperkirskan<x>_X--				
memperkisapkan	1	memperkisapkan<x>_X--				
memperkluat	1	memperkluat<x>_X--	y	kuat	mem	memperkuat
memperkoas	1	memperkoas<x>_X--				
memperkoh	1	memperkoh<x>_X--				
memperkokokh	1	memperkokokh<x>_X--	y	kokoh	mem	memperkokoh
memperkorsa	1	memperkorsa<x>_X--				
memperkrasai	1	memperkrasai<x>_X--				
memperkriakan	1	memperkriakan<x>_X--				
memperkuatan	1	memperkuatan<x>_X--				
memperkujat	1	memperkujat<x>_X--	y	kuat	mem	memperkuat
memperkuta	1	memperkuta<x>_X--	y	kuat	mem	memperkuat
memperlakuakn	1	memperlakuakn<x>_X--				
memperlakuannya	1	memperlakuannya<x>_X--				
memperlakuin	1	memperlakuin<x>_X--				
memperlakukn	1	memperlakukn<x>_X--				
memperlamabat	1	memperlamabat<x>_X--	y	lambat	mem	memperlambat
memperlamah	1	memperlamah<x>_X--	y	lemah	mem	memperlemah
memperlamat	1	memperlamat<x>_X--	y	lambat	mem	memperlambat
memperlambar	1	memperlambar<x>_X--	y	lambat	mem	memperlambat
memperlambay	1	memperlambay<x>_X--	y	lambat	mem	memperlambat
memperlanacr	1	memperlanacr<x>_X--	y	lancar	mem	memperlancar
memperlancara	1	memperlancara<x>_X--	y	lancar	mem	memperlancar
memperlanjar	1	memperlanjar<x>_X--	y	lancar	mem	memperlancar
memperlantingkan	1	memperlantingkan<x>_X--				
memperleb	1	memperleb<x>_X--				
memperlebarlebar	1	memperlebarlebar<x>_X--	y	lebar	mem	memperlebar
memperlekeh	1	memperlekeh<x>_X--				
memperlencar	1	memperlencar<x>_X--	y	lancar	mem	memperlancar
memperlentik	1	memperlentik<x>_X--	y	lentik	mem	memperlentik
memperlhiatkan	1	memperlhiatkan<x>_X--				
memperliahtkan	1	memperliahtkan<x>_X--				
memperlihaktan	1	memperlihaktan<x>_X--				
memperliharkun	1	memperliharkun<x>_X--				
memperlihatikan	1	memperlihatikan<x>_X--				
memperlihatkananya	1	memperlihatkananya<x>_X--				
memperlihatkkan	1	memperlihatkkan<x>_X--				
memperlihatlan	1	memperlihatlan<x>_X--				
memperlihattkan	1	memperlihattkan<x>_X--				
memperlihtkan	1	memperlihtkan<x>_X--				
memperlilhatkan	1	memperlilhatkan<x>_X--				
memperlkukan	1	memperlkukan<x>_X--				
memperllihatkan	1	memperllihatkan<x>_X--				
memperloeh	1	memperloeh<x>_X--				
memperlohatkan	1	memperlohatkan<x>_X--				
memperloheh	1	memperloheh<x>_X--				
memperluihatkan	1	memperluihatkan<x>_X--				
mempermainakn	1	mempermainakn<x>_X--				
mempermainan	1	mempermainan<x>_X--				
mempermainkam	1	mempermainkam<x>_X--				
mempermainkankan	1	mempermainkankan<x>_X--				
mempermainlan	1	mempermainlan<x>_X--				
mempermakukan	1	mempermakukan<x>_X--				
mempermalahkan	1	mempermalahkan<x>_X--				
mempermalasahkan	1	mempermalasahkan<x>_X--				
mempermalukanya	1	mempermalukanya<x>_X--				
mempermasaahkan	1	mempermasaahkan<x>_X--				
mempermasalagkan	1	mempermasalagkan<x>_X--				
mempermasalahakan	1	mempermasalahakan<x>_X--				
mempermasalahaknnya	1	mempermasalahaknnya<x>_X--				
mempermasalahkanm	1	mempermasalahkanm<x>_X--				
mempermasalahken	1	mempermasalahken<x>_X--				
mempermasalhakan	1	mempermasalhakan<x>_X--				
mempermasalhkan	1	mempermasalhkan<x>_X--				
mempermaslahkan	1	mempermaslahkan<x>_X--				
mempermmudah	1	mempermmudah<x>_X--				
mempermud	1	mempermud<x>_X--				
mempermudadh	1	mempermudadh<x>_X--	y	mudah	mem	mempermudah
mempermudan	1	mempermudan<x>_X--	y	mudah	mem	mempermudah
mempermusdah	1	mempermusdah<x>_X--	y	mudah	mem	mempermudah
mempernatikan	1	mempernatikan<x>_X--				
memperngarhi	1	memperngarhi<x>_X--				
memperniagaan	1	memperniagaan<x>_X--				
mempernis	1	mempernis<x>_X--				
mempernyai	1	mempernyai<x>_X--				
memperoeh	1	memperoeh<x>_X--				
memperoelh	1	memperoelh<x>_X--				
memperokeh	1	memperokeh<x>_X--				
memperolaeh	1	memperolaeh<x>_X--				
memperolehakreditasi	1	memperolehakreditasi<x>_X--				
memperolehgambaran	1	memperolehgambaran<x>_X--				
memperolehhasil	1	memperolehhasil<x>_X--				
memperolehinformasi	1	memperolehinformasi<x>_X--				
memperolehj	1	memperolehj<x>_X--				
memperolehjumlah	1	memperolehjumlah<x>_X--				
memperolehkeabsahan	1	memperolehkeabsahan<x>_X--				
memperolehkeputusan	1	memperolehkeputusan<x>_X--				
memperolehny	1	memperolehny<x>_X--				
memperolehpemahaman	1	memperolehpemahaman<x>_X--				
memperolehrekapitulasi	1	memperolehrekapitulasi<x>_X--				
memperolehrelevansi	1	memperolehrelevansi<x>_X--				
memperolieh	1	memperolieh<x>_X--				
memperolih	1	memperolih<x>_X--				
memperolreh	1	memperolreh<x>_X--				
memperolrh	1	memperolrh<x>_X--				
memperopleh	1	memperopleh<x>_X--				
memperosalkan	1	memperosalkan<x>_X--				
memperoteksi	1	memperoteksi<x>_X--				
memperoyeksi	1	memperoyeksi<x>_X--				
memperoyeksikan	1	memperoyeksikan<x>_X--				
memperpaibiki	1	memperpaibiki<x>_X--				
memperpangjang	1	memperpangjang<x>_X--	y	panjang	mem	memperpanjang
memperpanjag	1	memperpanjag<x>_X--	y	panjang	mem	memperpanjang
memperpanjangang	1	memperpanjangang<x>_X--	y	panjang	mem	memperpanjang
memperperbolehkan	1	memperperbolehkan<x>_X--				
memperperdek	1	memperperdek<x>_X--	y	pendek	mem	memperpendek
memperpersiapkan	1	memperpersiapkan<x>_X--				
memperpertahankan	1	memperpertahankan<x>_X--				
memperpertandingkan	1	memperpertandingkan<x>_X--				
memperrdagangkan	1	memperrdagangkan<x>_X--				
memperrlihatkan	1	memperrlihatkan<x>_X--				
memperrmak	1	memperrmak<x>_X--				
memperroleh	1	memperroleh<x>_X--				
memperrtimbangkan	1	memperrtimbangkan<x>_X--				
memperruk	1	memperruk<x>_X--				
mempersapkan	1	mempersapkan<x>_X--				
mempersatuakn	1	mempersatuakn<x>_X--				
mempersatukanpulau	1	mempersatukanpulau<x>_X--				
mempersatupadukan	1	mempersatupadukan<x>_X--				
mempersejatai	1	mempersejatai<x>_X--				
mempersekoti	1	mempersekoti<x>_X--				
mempersekotkan	1	mempersekotkan<x>_X--				
mempersekusi	1	mempersekusi<x>_X--				
mempersembaai	1	mempersembaai<x>_X--				
mempersembahakan	1	mempersembahakan<x>_X--				
mempersembahican	1	mempersembahican<x>_X--				
mempersembahkam	1	mempersembahkam<x>_X--				
mempersembahkanya	1	mempersembahkanya<x>_X--				
mempersembahkna	1	mempersembahkna<x>_X--				
mempersempet	1	mempersempet<x>_X--				
mempersenjatau	1	mempersenjatau<x>_X--				
mempersepit	1	mempersepit<x>_X--	y	sempit	mem	mempersempit
mempersetujuan	1	mempersetujuan<x>_X--				
mempersiapaan	1	mempersiapaan<x>_X--				
mempersiapkaan	1	mempersiapkaan<x>_X--				
mempersiapkana	1	mempersiapkana<x>_X--				
mempersiapkansatu	1	mempersiapkansatu<x>_X--				
mempersiapkantahun	1	mempersiapkantahun<x>_X--				
mempersiapkanyan	1	mempersiapkanyan<x>_X--				
mempersiapkn	1	mempersiapkn<x>_X--				
mempersibngkat	1	mempersibngkat<x>_X--				
mempersiiahkan	1	mempersiiahkan<x>_X--				
mempersila	1	mempersila<x>_X--				
mempersilakanatau	1	mempersilakanatau<x>_X--				
mempersilakanya	1	mempersilakanya<x>_X--				
mempersilhkan	1	mempersilhkan<x>_X--				
mempersilkanan	1	mempersilkanan<x>_X--				
mempersingat	1	mempersingat<x>_X--	y	singkat	mem	mempersingkat
mempersitebal	1	mempersitebal<x>_X--				
mempersitri	1	mempersitri<x>_X--				
mempersnjatai	1	mempersnjatai<x>_X--				
mempersoalankan	1	mempersoalankan<x>_X--				
mempersonalifisasikannya	1	mempersonalifisasikannya<x>_X--				
mempersonifikasi	1	mempersonifikasi<x>_X--				
memperspslakan	1	memperspslakan<x>_X--				
mempersulis	1	mempersulis<x>_X--	y	sulit	mem	mempersulit
mempersullt	1	mempersullt<x>_X--	y	sulit	mem	mempersulit
mempersuntinggnya	1	mempersuntinggnya<x>_X--				
mempersyarakatkan	1	mempersyarakatkan<x>_X--				
mempersyatkan	1	mempersyatkan<x>_X--				
mempertaahankan	1	mempertaahankan<x>_X--				
mempertagankan	1	mempertagankan<x>_X--				
mempertagas	1	mempertagas<x>_X--	y	tegas	mem	mempertegas
mempertahaankan	1	mempertahaankan<x>_X--				
mempertahamkan	1	mempertahamkan<x>_X--				
mempertahanin	1	mempertahanin<x>_X--				
mempertahank	1	mempertahank<x>_X--				
mempertahankaan	1	mempertahankaan<x>_X--				
mempertahankat	1	mempertahankat<x>_X--				
mempertahankian	1	mempertahankian<x>_X--				
mempertahankon	1	mempertahankon<x>_X--				
mempertahanksn	1	mempertahanksn<x>_X--				
mempertahnakn	1	mempertahnakn<x>_X--				
mempertajakan	1	mempertajakan<x>_X--				
mempertajan	1	mempertajan<x>_X--				
mempertajanl	1	mempertajanl<x>_X--				
mempertanagakan	1	mempertanagakan<x>_X--				
mempertanakkan	1	mempertanakkan<x>_X--				
mempertanankan	1	mempertanankan<x>_X--				
mempertandikan	1	mempertandikan<x>_X--				
mempertandingankan	1	mempertandingankan<x>_X--				
mempertangggungjawabkan	1	mempertangggungjawabkan<x>_X--				
mempertanggujawabkan	1	mempertanggujawabkan<x>_X--				
mempertanggungajwabkan	1	mempertanggungajwabkan<x>_X--				
mempertanggungjawabakan	1	mempertanggungjawabakan<x>_X--				
mempertanggungjawabkanya	1	mempertanggungjawabkanya<x>_X--				
mempertanggungjawakan	1	mempertanggungjawakan<x>_X--				
mempertanggunhjawabkan	1	mempertanggunhjawabkan<x>_X--				
mempertanggunjawaban	1	mempertanggunjawaban<x>_X--				
mempertanjakan	1	mempertanjakan<x>_X--				
mempertannggungjawabkan	1	mempertannggungjawabkan<x>_X--				
mempertannyakan	1	mempertannyakan<x>_X--				
mempertanyaakan	1	mempertanyaakan<x>_X--				
mempertanyaakn	1	mempertanyaakn<x>_X--				
mempertanyakaan	1	mempertanyakaan<x>_X--				
mempertanyakanbagaimana	1	mempertanyakanbagaimana<x>_X--				
mempertanyalan	1	mempertanyalan<x>_X--				
mempertanyankan	1	mempertanyankan<x>_X--				
mempertanykan	1	mempertanykan<x>_X--				
mempertarukan	1	mempertarukan<x>_X--				
mempertaukan	1	mempertaukan<x>_X--				
mempertautkanya	1	mempertautkanya<x>_X--				
mempertcayai	1	mempertcayai<x>_X--				
mempertehankan	1	mempertehankan<x>_X--				
mempertelakan	1	mempertelakan<x>_X--				
mempertemuan	1	mempertemuan<x>_X--				
mempertemuka	1	mempertemuka<x>_X--				
mempertentangan	1	mempertentangan<x>_X--				
memperternukan	1	memperternukan<x>_X--				
memperteruhkan	1	memperteruhkan<x>_X--				
mempertesilahkan	1	mempertesilahkan<x>_X--				
mempertetangkan	1	mempertetangkan<x>_X--				
mempertgas	1	mempertgas<x>_X--	y	tegas	mem	mempertegas
memperthanankan	1	memperthanankan<x>_X--				
memperthatikan	1	memperthatikan<x>_X--				
mempertihatinkan	1	mempertihatinkan<x>_X--				
mempertiimbangkan	1	mempertiimbangkan<x>_X--				
mempertimabngkan	1	mempertimabngkan<x>_X--				
mempertimbagnkan	1	mempertimbagnkan<x>_X--				
mempertimbakhan	1	mempertimbakhan<x>_X--				
mempertimbangkam	1	mempertimbangkam<x>_X--				
mempertimbangken	1	mempertimbangken<x>_X--				
mempertimbangklan	1	mempertimbangklan<x>_X--				
mempertimbangkn	1	mempertimbangkn<x>_X--				
mempertimbanqkan	1	mempertimbanqkan<x>_X--				
mempertimbnagkan	1	mempertimbnagkan<x>_X--				
mempertimpang	1	mempertimpang<x>_X--				
mempertingati	1	mempertingati<x>_X--				
mempertingi	1	mempertingi<x>_X--	y	tinggi	mem	mempertinggi
mempertinmbangkan	1	mempertinmbangkan<x>_X--				
mempertisi	1	mempertisi<x>_X--				
mempertjajai	1	mempertjajai<x>_X--				
mempertjajainja	1	mempertjajainja<x>_X--				
mempertlihatkan	1	mempertlihatkan<x>_X--				
mempertononkan	1	mempertononkan<x>_X--				
mempertontonbarengkan	1	mempertontonbarengkan<x>_X--				
mempertontontan	1	mempertontontan<x>_X--				
mempertotonkannya	1	mempertotonkannya<x>_X--				
mempertrampil	1	mempertrampil<x>_X--	y	terampil	mem	memperterampil
mempertruhkan	1	mempertruhkan<x>_X--				
mempertuas	1	mempertuas<x>_X--	y	luas	mem	memperluas
mempertunju	1	mempertunju<x>_X--				
mempertunkkan	1	mempertunkkan<x>_X--				
mempertunujkkan	1	mempertunujkkan<x>_X--				
memperubtkan	1	memperubtkan<x>_X--				
memperuturutkan	1	memperuturutkan<x>_X--				
memperuwet	1	memperuwet<x>_X--	y	ruwet	mem	memperuwet
memperyimbangkan	1	memperyimbangkan<x>_X--				
terperajat	1	terperajat<x>_X--				
terperanga	1	terperanga<x>_X--				
terperanggah	1	terperanggah<x>_X--				
terperanjantnya	1	terperanjantnya<x>_X--				
terperanjatkan	1	terperanjatkan<x>_X--				
terperbarui	1	terperbarui<x>_X--				
terperbarukan	1	terperbarukan<x>_X--				
terpercay	1	terpercay<x>_X--				
terpercayasecara	1	terpercayasecara<x>_X--				
terpercil	1	terpercil<x>_X--				
terperesok	1	terperesok<x>_X--				
terperforasi	1	terperforasi<x>_X--				
terpergunakan	1	terpergunakan<x>_X--				
terperici	1	terperici<x>_X--				
terperinei	1	terperinei<x>_X--				
terperintji	1	terperintji<x>_X--				
terpermak	1	terpermak<x>_X--				
terpermaknai	1	terpermaknai<x>_X--				
terperngaruh	1	terperngaruh<x>_X--				
terperosak	1	terperosak<x>_X--				
terperosk	1	terperosk<x>_X--				
terperstur	1	terperstur<x>_X--				
terpertanggungjawabkan	1	terpertanggungjawabkan<x>_X--				
terpertaruhkan	1	terpertaruhkan<x>_X--				
terpertimbangkan	1	terpertimbangkan<x>_X--				
terperturbasi	1	terperturbasi<x>_X--				
