match	n	tag	per_adj	base	pref	revised_match
mempertahnakan	4	mempertahnakan<x>_X--				
mempertanggungjwabkan	4	mempertanggungjwabkan<x>_X--				
mempertibangkan	4	mempertibangkan<x>_X--				
mempertimbangankan	4	mempertimbangankan<x>_X--				
memperuntukan	4	memperuntukan<x>_X--				
diperasperas	3	diperasperas<x>_X--				
diperbaharaui	3	diperbaharaui<x>_X--				
diperbolahkan	3	diperbolahkan<x>_X--				
diperbolehan	3	diperbolehan<x>_X--				
dipercapat	3	dipercapat<x>_X--	y	cepat	di	dipercepat
diperdebatakan	3	diperdebatakan<x>_X--				
diperebutan	3	diperebutan<x>_X--				
diperguanakan	3	diperguanakan<x>_X--				
dipergunaka	3	dipergunaka<x>_X--				
dipergunakaan	3	dipergunakaan<x>_X--				
dipergunakn	3	dipergunakn<x>_X--				
dipergunkan	3	dipergunkan<x>_X--				
diperhelatan	3	diperhelatan<x>_X--				
diperhitungakan	3	diperhitungakan<x>_X--				
diperingatan	3	diperingatan<x>_X--				
diperintahkankan	3	diperintahkankan<x>_X--				
diperkanalkan	3	diperkanalkan<x>_X--				
diperkecualikan	3	diperkecualikan<x>_X--				
diperkenalan	3	diperkenalan<x>_X--				
diperkerikan	3	diperkerikan<x>_X--				
diperkotak-katikkan	3	di+per+kotak<n>_VSPDASH^katikkan<x>_X--$				
diperkriakan	3	diperkriakan<x>_X--				
diperkuburan	3	diperkuburan<x>_X--				
diperkukan	3	diperkukan<x>_X--				
diperlihatan	3	diperlihatan<x>_X--				
diperluin	3	diperluin<x>_X--				
diperlukann	3	diperlukann<x>_X--				
dipermukiman	3	dipermukiman<x>_X--				
diperoeh	3	diperoeh<x>_X--				
diperolehan	3	diperolehan<x>_X--				
diperosotkan	3	diperosotkan<x>_X--				
dipersekolahan	3	dipersekolahan<x>_X--				
dipersembunyiannya	3	dipersembunyiannya<x>_X--				
dipersepakbolaan	3	dipersepakbolaan<x>_X--				
dipersetuji	3	dipersetuji<x>_X--				
dipersilangan	3	dipersilangan<x>_X--				
dipersona	3	dipersona<x>_X--				
dipertahanakan	3	dipertahanakan<x>_X--				
dipertahorti	3	dipertahorti<x>_X--				
dipertanaman	3	dipertanaman<x>_X--				
dipertanggungjawabakan	3	dipertanggungjawabakan<x>_X--				
dipertanggungjwabkan	3	dipertanggungjwabkan<x>_X--				
diperthankan	3	diperthankan<x>_X--				
dipertokoan	3	dipertokoan<x>_X--				
dipertotonkan	3	dipertotonkan<x>_X--				
dipertukan	3	dipertukan<x>_X--				
diperuntukkkan	3	diperuntukkkan<x>_X--				
diperutukkan	3	diperutukkan<x>_X--				
memperdiksi	3	memperdiksi<x>_X--				
memperediksi	3	memperediksi<x>_X--				
memperelokkan	3	memperelokkan<x>_X--				
mempereoleh	3	mempereoleh<x>_X--				
mempergaruhi	3	mempergaruhi<x>_X--				
memperhartikan	3	memperhartikan<x>_X--				
memperharui	3	memperharui<x>_X--				
memperihatikan	3	memperihatikan<x>_X--				
memperingatakan	3	memperingatakan<x>_X--				
memperkat	3	memperkat<x>_X--				
memperkerdil	3	memperkerdil<x>_X--	y	kerdil	mem	memperkerdil
memperkirakn	3	memperkirakn<x>_X--				
memperkirkan	3	memperkirkan<x>_X--				
memperkuar	3	memperkuar<x>_X--	y	kuat	mem	memperkuat
memperkut	3	memperkut<x>_X--				
memperlihatka	3	memperlihatka<x>_X--				
memperloleh	3	memperloleh<x>_X--				
memperluasa	3	memperluasa<x>_X--	y	luas	mem	memperluas
memperluasan	3	memperluasan<x>_X--	y	luas	mem	memperluas
memperoieh	3	memperoieh<x>_X--				
memperoklamirkan	3	memperoklamirkan<x>_X--				
memperolehan	3	memperolehan<x>_X--				
memperpaiki	3	memperpaiki<x>_X--				
mempersatuan	3	mempersatuan<x>_X--				
mempersembahan	3	mempersembahan<x>_X--				
mempersiapakn	3	mempersiapakn<x>_X--				
mempersiapka	3	mempersiapka<x>_X--				
mempersiapkann	3	mempersiapkann<x>_X--				
mempersuasif	3	mempersuasif<x>_X--				
mempertahahankan	3	mempertahahankan<x>_X--				
mempertahahkan	3	mempertahahkan<x>_X--				
mempertahanankan	3	mempertahanankan<x>_X--				
mempertahkan	3	mempertahkan<x>_X--				
mempertandingakan	3	mempertandingakan<x>_X--				
mempertangung	3	mempertangung<x>_X--				
mempertaruhan	3	mempertaruhan<x>_X--				
mempertikai	3	mempertikai<x>_X--				
mempertimangkan	3	mempertimangkan<x>_X--				
mempertimbangka	3	mempertimbangka<x>_X--				
mempertimbankan	3	mempertimbankan<x>_X--				
memperudah	3	memperudah<x>_X--	y	mudah	mem	mempermudah
memperunyam	3	memperunyam<x>_X--	y	runyam	mem	memperunyam
terperana	3	terperana<x>_X--				
terperanjak	3	terperanjak<x>_X--				
terpersonalisasi	3	terpersonalisasi<x>_X--				
diperadilan	2	diperadilan<x>_X--				
diperagaan	2	diperagaan<x>_X--				
diperaiaran	2	diperaiaran<x>_X--				
diperaiki	2	diperaiki<x>_X--				
diperalamnkan	2	diperalamnkan<x>_X--				
diperantaraipbb	2	diperantaraipbb<x>_X--				
diperasaan	2	diperasaan<x>_X--				
diperatahankan	2	diperatahankan<x>_X--				
diperatndingkan	2	diperatndingkan<x>_X--				
diperayaan	2	diperayaan<x>_X--				
diperbahaui	2	diperbahaui<x>_X--				
diperbaikan	2	diperbaikan<x>_X--				
diperbaikin	2	diperbaikin<x>_X--				
diperbaikki	2	diperbaikki<x>_X--				
diperbandmgkan	2	diperbandmgkan<x>_X--				
diperbaruai	2	diperbaruai<x>_X--				
diperbolehka	2	diperbolehka<x>_X--				
